reference,company_reference,date,internal_value,n_assets,web_group_checker_httptohttps__sev_total_cnt_INFO,web_group_checker_httptohttps__sev_total_cnt_LOW,web_group_checker_httptohttps__sev_total_cnt_MEDIUM,web_group_checker_httptohttps__sev_total_cnt_HIGH,web_group_checker_httptohttps__sev_total_cnt_CRITICAL,web_group_checker_hsts__sev_total_cnt_INFO,web_group_checker_hsts__sev_total_cnt_LOW,web_group_checker_hsts__sev_total_cnt_MEDIUM,web_group_checker_hsts__sev_total_cnt_HIGH,web_group_checker_hsts__sev_total_cnt_CRITICAL,web_group_checker_referrerpolicy__sev_total_cnt_INFO,web_group_checker_referrerpolicy__sev_total_cnt_LOW,web_group_checker_referrerpolicy__sev_total_cnt_MEDIUM,web_group_checker_referrerpolicy__sev_total_cnt_HIGH,web_group_checker_referrerpolicy__sev_total_cnt_CRITICAL,web_group_checker_cspbaseline__sev_total_cnt_INFO,web_group_checker_cspbaseline__sev_total_cnt_LOW,web_group_checker_cspbaseline__sev_total_cnt_MEDIUM,web_group_checker_cspbaseline__sev_total_cnt_HIGH,web_group_checker_cspbaseline__sev_total_cnt_CRITICAL,web_group_checker_xfoxcto__sev_total_cnt_INFO,web_group_checker_xfoxcto__sev_total_cnt_LOW,web_group_checker_xfoxcto__sev_total_cnt_MEDIUM,web_group_checker_xfoxcto__sev_total_cnt_HIGH,web_group_checker_xfoxcto__sev_total_cnt_CRITICAL,web_group_checker_certificaterotation__sev_total_cnt_INFO,web_group_checker_certificaterotation__sev_total_cnt_LOW,web_group_checker_certificaterotation__sev_total_cnt_MEDIUM,web_group_checker_certificaterotation__sev_total_cnt_HIGH,web_group_checker_certificaterotation__sev_total_cnt_CRITICAL,web_group_checker_tlslegacy__sev_total_cnt_INFO,web_group_checker_tlslegacy__sev_total_cnt_LOW,web_group_checker_tlslegacy__sev_total_cnt_MEDIUM,web_group_checker_tlslegacy__sev_total_cnt_HIGH,web_group_checker_tlslegacy__sev_total_cnt_CRITICAL,web_group_checker_weakciphers__sev_total_cnt_INFO,web_group_checker_weakciphers__sev_total_cnt_LOW,web_group_checker_weakciphers__sev_total_cnt_MEDIUM,web_group_checker_weakciphers__sev_total_cnt_HIGH,web_group_checker_weakciphers__sev_total_cnt_CRITICAL,web_group_checker_sslvulns__sev_total_cnt_INFO,web_group_checker_sslvulns__sev_total_cnt_LOW,web_group_checker_sslvulns__sev_total_cnt_MEDIUM,web_group_checker_sslvulns__sev_total_cnt_HIGH,web_group_checker_sslvulns__sev_total_cnt_CRITICAL,synth_feature_00,synth_feature_01,synth_feature_02,synth_feature_03,synth_feature_04,synth_feature_05,synth_feature_06,synth_feature_07,synth_feature_08,synth_feature_09,synth_feature_10,synth_feature_11,synth_feature_12,synth_feature_13,synth_feature_14,synth_feature_15,synth_feature_16,synth_feature_17,synth_feature_18,synth_feature_19,synth_feature_20,synth_feature_21,synth_feature_22,synth_feature_23,synth_feature_24,synth_feature_25,synth_feature_26,synth_feature_27,synth_feature_28,synth_feature_29,synth_feature_30,synth_feature_31,synth_feature_32,synth_feature_33,synth_feature_34,synth_feature_35,synth_feature_36,synth_feature_37,synth_feature_38,synth_feature_39
synth-org-0000-snap-000,synth-org-0000,2024-01-01,73.952,160.0,25.0,20.0,10.0,12.0,1.0,3.0,0.0,7.0,32.0,25.0,36.0,20.0,24.0,38.0,29.0,25.0,21.0,22.0,37.0,11.0,32.0,26.0,0.0,15.0,34.0,22.0,1.0,30.0,29.0,33.0,7.0,3.0,34.0,0.0,21.0,0.0,7.0,14.0,10.0,12.0,1.0,0.0,4.0,0.0,26.0,0.6808108455547985,0.05864391197099269,2.145183575422563,-1.3343873375069282,-2.9603346790156353,14.437043233498791,3.7617350222373003,11.173304592977033,14.94726081604682,11.923020554515135,-20.317076589203133,10.88204851215129,14.375332618413859,-1.7152472045761162,-14.085287318019551,-24.511988010819383,11.483816610088809,-0.8175114834354605,-17.42456457270238,25.899555592142406,-14.723458107096622,11.110291673086238,-0.8994653096487712,-16.802512957884236,5.065554046737696,-33.580549601060994,-46.324232745392585,0.8013011032375541,-2.420381120497101,-24.631438970429503,-22.198971307379416,-59.0378087618206,-27.514527324151963,40.42776002720136,-0.976472146041816,-13.92228343240382,6.675942601192592,-24.30359610885166,-33.67064228178192,-62.883324599106075
synth-org-0000-snap-001,synth-org-0000,2024-01-31,74.788,160.0,25.0,20.0,10.0,12.0,1.0,3.0,0.0,7.0,32.0,25.0,36.0,20.0,24.0,38.0,29.0,25.0,21.0,22.0,37.0,11.0,32.0,26.0,0.0,15.0,34.0,22.0,1.0,30.0,29.0,33.0,7.0,3.0,34.0,0.0,21.0,0.0,7.0,14.0,10.0,12.0,0.0,0.0,0.0,0.0,26.0,0.7948001226567942,2.885837387614356,3.085501559680909,-3.4315679299650315,-7.610774946827174,-12.819252562535596,-5.709062726082143,2.0533139743756146,-3.6525209090911837,0.26418771403536556,22.148190561714117,20.70634830003119,16.715473048789917,9.035547058628545,-7.085001417932182,24.80346986511546,-15.186436385908964,-12.194517133954312,-11.809505546071943,33.366771101021314,-8.86308973981665,-4.18988827479247,-32.73968906157916,-9.582726102775347,-26.67802669600818,13.087686403053281,4.884739338088497,-17.606097962118046,-48.38552937041084,23.54823575373091,-31.62482398375924,-50.32816472003864,21.37658380726816,-33.40312918168533,1.438946029987254,-20.37107568188973,-33.01971894532737,27.57657174755196,-18.785214179485536,98.72623554252343
synth-org-0000-snap-002,synth-org-0000,2024-03-01,75.948,160.0,19.0,14.0,3.0,12.0,1.0,3.0,0.0,7.0,32.0,25.0,30.0,17.0,17.0,32.0,24.0,24.0,17.0,19.0,30.0,10.0,28.0,22.0,0.0,13.0,27.0,17.0,0.0,23.0,29.0,31.0,3.0,0.0,28.0,0.0,18.0,0.0,7.0,14.0,10.0,12.0,0.0,0.0,0.0,0.0,26.0,0.25819879187902395,-0.6934378451707994,0.06577274977475242,-1.9667294385243619,-0.2581664441353624,8.239905141703055,9.07222142880083,5.47066804424854,5.098177364511705,12.000367857496101,21.36674227541512,10.06944712452977,-18.624904117679193,0.5904540007433428,-16.936618755692194,-14.757307775445508,-3.704063749616114,-15.593441596403697,-27.604312784436768,-42.38055017648385,-22.56020119760255,-13.83533407112367,-25.655869934170017,-16.138459857874118,12.341049186694326,-26.2100909620247,-6.456128111880182,39.00229504587444,26.68507921060468,-6.561754129302112,-37.724765887824184,-16.786326565752898,-2.426159518238658,-30.68443042828622,25.622075187270482,-48.9374047249773,-27.310125663514086,47.801990022831106,18.20058467632464,-2.5646580168249757
synth-org-0000-snap-003,synth-org-0000,2024-03-31,74.332,159.0,19.0,14.0,3.0,12.0,1.0,3.0,0.0,7.0,32.0,25.0,30.0,17.0,17.0,32.0,24.0,24.0,17.0,19.0,30.0,10.0,28.0,22.0,0.0,13.0,27.0,17.0,0.0,23.0,29.0,31.0,3.0,0.0,28.0,0.0,18.0,0.0,7.0,14.0,10.0,12.0,0.0,0.0,0.0,0.0,26.0,0.6484342258863559,2.5888475974968683,0.18417663701389975,0.5801985708948864,-0.24096738767878118,-3.5132266496954534,7.768966801554437,-1.1124796430311532,5.441640445292426,4.8197045785659824,30.830851686720464,-9.107061602036259,6.862985833423677,17.88038859226857,-13.971293206246429,-30.864570047927014,-2.0678721926516004,-29.52235600077348,20.897173958206793,17.92309246735809,37.440117554745804,28.022990819131593,-34.824010446676134,4.954838630103811,23.16223652747723,-9.353605060803158,-0.5014014948493408,9.088271380844757,-10.94956816265384,-47.18944117150585,61.12048101354544,32.75131191035646,37.449163715832405,-10.537294820278065,25.64149823215625,20.799645019127688,-96.4214398652588,-22.602996987204644,-22.91350264631771,-9.443619236692179
synth-org-0000-snap-004,synth-org-0000,2024-04-30,75.941,158.0,19.0,14.0,3.0,12.0,1.0,0.0,0.0,2.0,25.0,18.0,30.0,17.0,17.0,32.0,24.0,24.0,11.0,19.0,23.0,4.0,21.0,18.0,0.0,11.0,20.0,17.0,0.0,23.0,29.0,31.0,3.0,0.0,28.0,0.0,18.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,0.43386255884512653,1.6426966996031824,-1.3069755349234091,-2.140612310975888,-1.0055183612569931,-8.537066760350438,9.895937775983969,11.867602503050554,-17.758987467202584,-1.7382665246364537,-8.358024538292195,-23.369210241244648,23.803758603583603,6.61345858286227,4.2812980592712755,-7.027257424783994,-15.906759536047732,-33.63365370292715,2.867941411997953,-5.756658243451178,-35.550104019355295,11.84502430581131,13.139257091001385,-14.95852579334192,-17.633247932579806,-38.03806644490719,6.685428720469402,9.259755166699073,29.185001393008157,8.48398251846886,22.95518066997405,37.50311029042207,9.635176642227378,-51.93092356268603,-8.565537209211259,-4.861404018363628,-9.765789704153029,-12.184299947871562,21.224837951412653,-25.59943132952707
synth-org-0000-snap-005,synth-org-0000,2024-05-30,76.355,158.0,19.0,14.0,3.0,12.0,1.0,0.0,0.0,1.0,21.0,14.0,30.0,17.0,17.0,32.0,24.0,24.0,11.0,13.0,22.0,0.0,21.0,18.0,0.0,11.0,20.0,14.0,0.0,19.0,29.0,26.0,3.0,0.0,28.0,0.0,18.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,-0.654232156236066,-1.4346413897116812,-3.065629381437705,1.9940593936204638,3.658787323269959,-13.72133989256594,9.322314489473106,4.737414477426419,-19.091812810855348,-8.880343071022738,16.326439382993737,10.593030173899612,-8.049377293544975,-9.838282377464814,1.1057329183463096,6.671098768701722,6.699350689337155,-0.07591724369395514,-30.116606597091575,13.170766205216971,21.891788126933882,24.523036522589607,12.31561109575852,-47.15747809008024,26.545856789891104,35.31504871079797,33.88596584234346,-44.07605966884836,45.99663729545375,-9.380757637146631,-29.00160987880636,2.0684923277384,27.362562321177528,3.44537525883672,-4.945669877743356,-17.55472006035411,46.661985911946054,27.003867845176654,-33.863285660294196,-71.34012044354682
synth-org-0000-snap-006,synth-org-0000,2024-06-29,76.634,156.0,18.0,7.0,2.0,11.0,0.0,0.0,0.0,1.0,21.0,14.0,30.0,17.0,17.0,32.0,24.0,24.0,11.0,13.0,22.0,0.0,21.0,18.0,0.0,11.0,20.0,14.0,0.0,19.0,29.0,26.0,3.0,0.0,28.0,0.0,18.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,0.8811097296687851,-0.2693633498873323,2.2324455604699827,2.4589441541857484,-5.0541941142439875,2.1299132203840436,-2.959930570565362,-12.09352288205251,-19.21786770060086,11.718504489684209,6.713222418506565,-3.759666809645339,5.615550654832315,2.07676371866641,-17.96197601309072,-1.5431923935585758,13.422121780651684,11.153399420495832,-0.3862299788514367,-3.0522112269737924,28.792761121458014,3.964718888153249,9.706084820690927,-9.656619207759876,-9.896986597883394,8.55659837426798,23.69947342278651,49.33390589293186,-50.43821042452833,4.990473327370887,-74.26409498015357,-16.107168613237075,-47.48522500065463,53.6483581397288,-37.19729875742475,-30.809815042783576,-44.36686245607108,-32.437346044808585,-2.402897938356649,-72.0264240062422
synth-org-0000-snap-007,synth-org-0000,2024-07-29,76.771,153.0,18.0,7.0,2.0,11.0,0.0,0.0,0.0,1.0,21.0,14.0,30.0,17.0,17.0,32.0,24.0,24.0,11.0,13.0,22.0,0.0,21.0,18.0,0.0,11.0,20.0,8.0,0.0,19.0,22.0,19.0,3.0,0.0,28.0,0.0,18.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,-0.7814932002715151,0.10854561084180943,1.721966836565664,-1.4853113046876736,-1.7329249890997902,1.7977435194372078,-1.2941751884741544,3.699681427392156,-8.762587936495922,-7.153077742633835,5.069137006668361,10.22825149435287,-29.67793341873935,2.100949002353045,-16.307943262052312,-23.611932130009457,-17.06704776294545,-20.70872255106523,5.689715959454634,-27.31173911925252,-24.238011582961242,0.74609803181344,9.567868509239897,5.764442605921673,-12.7415621421191,-30.416727766244776,-19.310888927824198,42.88825666437964,-26.347884240150744,21.457473160620502,-38.69081701852633,-10.153178524145439,-14.726786416149382,-17.361886022762363,73.27959383453882,47.94113462541788,-43.994998214898935,-7.69946805821878,40.15045198893398,7.569422288034175
synth-org-0000-snap-008,synth-org-0000,2024-08-28,76.716,150.0,18.0,7.0,2.0,11.0,0.0,0.0,0.0,0.0,19.0,7.0,30.0,17.0,17.0,32.0,24.0,19.0,11.0,7.0,19.0,0.0,21.0,18.0,0.0,11.0,20.0,8.0,0.0,19.0,22.0,19.0,3.0,0.0,28.0,0.0,18.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,0.09926646654777514,-0.583313111162135,0.4127600865558757,-1.8416116254492485,-0.6867650656164299,-7.229816472022969,5.644757582435439,6.870178040658603,4.790817443581411,-3.587429695890778,9.123627570058746,-15.354052066194729,-26.35971672957399,-8.963677089032114,-16.571947250629503,5.734883659756496,-12.125329204326903,-28.143460669344947,17.253599189465536,41.101948611201344,20.161505740777116,5.538607186179488,51.462249167612946,-5.980202020503805,-14.774095123670245,-2.6556841599682044,-16.89339275731062,16.417117125257043,-26.61847819697788,-56.84214237992056,-1.8319424392377186,-17.0946921100735,35.72357442483145,-9.74065690245943,24.436442188243525,15.960271667236487,-25.960155419150254,-29.702925385294243,37.59172338438846,20.70231365029628
synth-org-0000-snap-009,synth-org-0000,2024-09-27,74.806,152.0,18.0,7.0,2.0,11.0,0.0,0.0,0.0,0.0,19.0,7.0,30.0,17.0,17.0,32.0,24.0,19.0,11.0,7.0,19.0,0.0,21.0,18.0,0.0,11.0,20.0,8.0,0.0,19.0,22.0,19.0,1.0,0.0,21.0,0.0,12.0,0.0,1.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,26.0,-0.8300315518041715,-1.6655570783969749,0.8613720007750755,-1.3984253887765656,-2.205048182148272,-3.875439545593091,2.432595558979731,17.006504125822417,-0.008283730659705543,9.40469400084084,4.955659044182765,-20.105637714353517,6.795115166768131,3.871256215325356,-7.551612479687125,26.955413419899532,7.229938758583551,-23.761264148321157,9.663036505567803,1.340764196975086,19.60395084263912,-7.83811956723307,30.98136068292863,-45.94842117332796,-43.27861661339802,-0.7613971007535455,-19.47280773161771,-2.095018557377137,-21.69020901146839,-2.7321325760301316,13.120263875498585,-0.45762578260762765,-61.28472659784636,14.396995433492535,-45.81671586781245,-15.356292937791306,-37.4556266214895,6.455164883899163,-34.79673610695885,5.478931824313561
